,year,month,area,type,kw
536,2022,2,3,1,57237193
537,2022,2,3,2,69323324
538,2022,2,3,3,12695308
539,2022,2,3,4,56611627
540,2022,2,3,5,2383150
541,2022,2,3,6,1707949
542,2022,2,3,7,3592500
543,2022,2,3,0,203551051
544,2022,2,4,1,54922534
545,2022,2,4,2,73622847
546,2022,2,4,3,4929654
547,2022,2,4,4,168809577
548,2022,2,4,5,6331857
549,2022,2,4,6,2583481
550,2022,2,4,7,2718740
551,2022,2,4,0,313918690
552,2022,2,5,1,29869787
553,2022,2,5,2,29201642
554,2022,2,5,3,2855720
555,2022,2,5,4,3667295
556,2022,2,5,5,1218056
557,2022,2,5,6,1072994
558,2022,2,5,7,2280806
559,2022,2,5,0,70166300
560,2016,3,1,1,10803000
561,2016,3,1,2,30996152
562,2016,3,1,3,3467243
563,2016,3,1,4,2476386
564,2016,3,1,5,85146
565,2016,3,1,6,729447
566,2016,3,1,7,2277586
567,2016,3,1,0,50834960
568,2016,3,2,1,34719000
569,2016,3,2,2,63051941
570,2016,3,2,3,1971814
571,2016,3,2,4,27300826
572,2016,3,2,5,565463
573,2016,3,2,6,1236282
574,2016,3,2,7,2921936
575,2016,3,2,0,131767262
576,2016,3,3,1,47293157
577,2016,3,3,2,58173181
578,2016,3,3,3,11785342
579,2016,3,3,4,60320535
580,2016,3,3,5,1829053
581,2016,3,3,6,1461043
582,2016,3,3,7,4474401
583,2016,3,3,0,185336712
584,2016,3,4,1,42685074
585,2016,3,4,2,55911956
586,2016,3,4,3,5248139
587,2016,3,4,4,172932636
588,2016,3,4,5,4823107
589,2016,3,4,6,2311530
590,2016,3,4,7,4050954
591,2016,3,4,0,287963396
592,2016,3,5,1,23955185
593,2016,3,5,2,23453712
594,2016,3,5,3,3151061
595,2016,3,5,4,2580743
596,2016,3,5,5,1063006
597,2016,3,5,6,993455
598,2016,3,5,7,2923418
599,2016,3,5,0,58120580
600,2017,3,1,1,10581941
601,2017,3,1,2,30807324
602,2017,3,1,3,3523813
603,2017,3,1,4,2543540
604,2017,3,1,5,103768
605,2017,3,1,6,647759
606,2017,3,1,7,2026134
607,2017,3,1,0,50234279
608,2017,3,2,1,33749551
609,2017,3,2,2,63274835
610,2017,3,2,3,1990609
611,2017,3,2,4,26431536
612,2017,3,2,5,542891
613,2017,3,2,6,1151818
614,2017,3,2,7,2607048
615,2017,3,2,0,129748288
616,2017,3,3,1,45286771
617,2017,3,3,2,57650287
618,2017,3,3,3,12180464
619,2017,3,3,4,60017233
620,2017,3,3,5,1800862
621,2017,3,3,6,1406667
622,2017,3,3,7,4333451
623,2017,3,3,0,182675735
624,2017,3,4,1,41372339
625,2017,3,4,2,57573058
626,2017,3,4,3,5261707
627,2017,3,4,4,182658134
628,2017,3,4,5,5031798
629,2017,3,4,6,2255594
630,2017,3,4,7,3529494
631,2017,3,4,0,297682124
632,2017,3,5,1,22900476
633,2017,3,5,2,23278429
634,2017,3,5,3,3128898
635,2017,3,5,4,3605501
636,2017,3,5,5,1021082
637,2017,3,5,6,972973
638,2017,3,5,7,2663676
639,2017,3,5,0,57571035
640,2018,3,1,1,11012887
641,2018,3,1,2,30025222
642,2018,3,1,3,3313703
643,2018,3,1,4,2406107
644,2018,3,1,5,91912
645,2018,3,1,6,744557
646,2018,3,1,7,1837473
647,2018,3,1,0,49431861
648,2018,3,2,1,34267202
649,2018,3,2,2,61664491
650,2018,3,2,3,1919247
651,2018,3,2,4,24654069
652,2018,3,2,5,602319
653,2018,3,2,6,1123753
654,2018,3,2,7,2335766
655,2018,3,2,0,126566847
656,2018,3,3,1,47004304
657,2018,3,3,2,56956788
658,2018,3,3,3,11474072
659,2018,3,3,4,59775070
660,2018,3,3,5,1622933
661,2018,3,3,6,1412254
662,2018,3,3,7,3919231
663,2018,3,3,0,182164652
664,2018,3,4,1,42711658
665,2018,3,4,2,59422888
666,2018,3,4,3,5028630
667,2018,3,4,4,166241926
668,2018,3,4,5,4452512
669,2018,3,4,6,2212936
670,2018,3,4,7,3331566
671,2018,3,4,0,283402116
672,2018,3,5,1,23410952
673,2018,3,5,2,23491917
674,2018,3,5,3,2886626
675,2018,3,5,4,2969150
676,2018,3,5,5,878244
677,2018,3,5,6,996421
678,2018,3,5,7,2461009
679,2018,3,5,0,57094319
680,2019,3,1,1,11245362
681,2019,3,1,2,30045928
682,2019,3,1,3,3327499
683,2019,3,1,4,2548210
684,2019,3,1,5,94963
685,2019,3,1,6,780457
686,2019,3,1,7,1528932
687,2019,3,1,0,49571351
688,2019,3,2,1,34049561
689,2019,3,2,2,60414659
690,2019,3,2,3,1819058
691,2019,3,2,4,19706656
692,2019,3,2,5,598948
693,2019,3,2,6,1166296
694,2019,3,2,7,1951733
695,2019,3,2,0,119706911
696,2019,3,3,1,46879782
697,2019,3,3,2,55275780
698,2019,3,3,3,11488074
699,2019,3,3,4,58768827
700,2019,3,3,5,1665162
701,2019,3,3,6,1627687
702,2019,3,3,7,3435542
703,2019,3,3,0,179140854
704,2019,3,4,1,43222980
705,2019,3,4,2,58048643
706,2019,3,4,3,4818429
707,2019,3,4,4,162070368
708,2019,3,4,5,4435591
709,2019,3,4,6,2252951
710,2019,3,4,7,2843859
711,2019,3,4,0,277692821
712,2019,3,5,1,23738731
713,2019,3,5,2,22796822
714,2019,3,5,3,2846755
715,2019,3,5,4,2751385
716,2019,3,5,5,1059141
717,2019,3,5,6,1100813
718,2019,3,5,7,2202886
719,2019,3,5,0,56496533
720,2020,3,1,1,12676281
721,2020,3,1,2,28715027
722,2020,3,1,3,2775274
723,2020,3,1,4,2464048
724,2020,3,1,5,95502
725,2020,3,1,6,770999
726,2020,3,1,7,1375353
727,2020,3,1,0,48872484
728,2020,3,2,1,36636130
729,2020,3,2,2,61452640
730,2020,3,2,3,1379103
731,2020,3,2,4,25483353
732,2020,3,2,5,602937
733,2020,3,2,6,1131158
734,2020,3,2,7,1809295
735,2020,3,2,0,128494616
736,2020,3,3,1,50887693
737,2020,3,3,2,57054733
738,2020,3,3,3,10045464
739,2020,3,3,4,58532356
740,2020,3,3,5,1681125
741,2020,3,3,6,1681262
742,2020,3,3,7,3081560
743,2020,3,3,0,182964193
744,2020,3,4,1,47454641
745,2020,3,4,2,59809663
746,2020,3,4,3,3721639
747,2020,3,4,4,157544079
748,2020,3,4,5,4498245
749,2020,3,4,6,2404462
750,2020,3,4,7,2585871
751,2020,3,4,0,278018600
752,2020,3,5,1,25934740
753,2020,3,5,2,23648529
754,2020,3,5,3,2110297
755,2020,3,5,4,2789781
756,2020,3,5,5,959164
757,2020,3,5,6,1091649
758,2020,3,5,7,2002064
759,2020,3,5,0,58536224
760,2021,3,1,1,13199891
761,2021,3,1,2,27822115
762,2021,3,1,3,3013133
763,2021,3,1,4,2465142
764,2021,3,1,5,90084
765,2021,3,1,6,794176
766,2021,3,1,7,1179030
767,2021,3,1,0,48563571
768,2021,3,2,1,34996462
769,2021,3,2,2,59373151
770,2021,3,2,3,1736928
771,2021,3,2,4,25309265
772,2021,3,2,5,503382
773,2021,3,2,6,1034442
774,2021,3,2,7,1663974
775,2021,3,2,0,124617604
776,2021,3,3,1,49372711
777,2021,3,3,2,55191360
778,2021,3,3,3,11216746
779,2021,3,3,4,58321085
780,2021,3,3,5,1662977
781,2021,3,3,6,1591423
782,2021,3,3,7,2837442
783,2021,3,3,0,180193744
784,2021,3,4,1,46506932
785,2021,3,4,2,58780285
786,2021,3,4,3,4611191
787,2021,3,4,4,168894151
788,2021,3,4,5,4094980
789,2021,3,4,6,2156399
790,2021,3,4,7,2334485
791,2021,3,4,0,287378423
792,2021,3,5,1,24803096
793,2021,3,5,2,22941364
794,2021,3,5,3,2715859
795,2021,3,5,4,2763893
796,2021,3,5,5,908734
797,2021,3,5,6,1041381
798,2021,3,5,7,1833108
799,2021,3,5,0,57007435
800,2022,3,1,1,14095073
801,2022,3,1,2,29771521
802,2022,3,1,3,3314333
803,2022,3,1,4,2912947
804,2022,3,1,5,178160
805,2022,3,1,6,768475
806,2022,3,1,7,1203541
807,2022,3,1,0,52244050
808,2022,3,2,1,35886494
809,2022,3,2,2,63912286
810,2022,3,2,3,2067067
811,2022,3,2,4,25400197
812,2022,3,2,5,537015
813,2022,3,2,6,969229
814,2022,3,2,7,1678660
815,2022,3,2,0,130450948
816,2022,3,3,1,51343669
817,2022,3,3,2,59511673
818,2022,3,3,3,12435009
819,2022,3,3,4,60614816
820,2022,3,3,5,1705822
821,2022,3,3,6,1506102
822,2022,3,3,7,2956854
823,2022,3,3,0,190073945
824,2022,3,4,1,48375786
825,2022,3,4,2,65163896
826,2022,3,4,3,5159123
827,2022,3,4,4,173212363
828,2022,3,4,5,5004968
829,2022,3,4,6,2289929
830,2022,3,4,7,2309099
831,2022,3,4,0,301515164
832,2022,3,5,1,26047796
833,2022,3,5,2,24606260
834,2022,3,5,3,3060102
835,2022,3,5,4,3540659
836,2022,3,5,5,1016295
837,2022,3,5,6,987559
838,2022,3,5,7,1858417
839,2022,3,5,0,61117088
840,2016,4,1,1,10806127
841,2016,4,1,2,28077765
842,2016,4,1,3,3480401
843,2016,4,1,4,2337747
844,2016,4,1,5,78186
845,2016,4,1,6,679534
846,2016,4,1,7,1699786
847,2016,4,1,0,47159546
848,2016,4,2,1,34725289
849,2016,4,2,2,58933882
850,2016,4,2,3,1803545
851,2016,4,2,4,24049176
852,2016,4,2,5,441401
853,2016,4,2,6,1170348
854,2016,4,2,7,2402444
855,2016,4,2,0,123526085
856,2016,4,3,1,47316342
857,2016,4,3,2,53062467
858,2016,4,3,3,9913840
859,2016,4,3,4,58306349
860,2016,4,3,5,1371636
861,2016,4,3,6,1386992
862,2016,4,3,7,3260447
863,2016,4,3,0,174618073
864,2016,4,4,1,42953081
865,2016,4,4,2,51930838
866,2016,4,4,3,4740406
867,2016,4,4,4,167456260
868,2016,4,4,5,3483148
869,2016,4,4,6,2299294
870,2016,4,4,7,3079122
871,2016,4,4,0,275942149
872,2016,4,5,1,24047465
873,2016,4,5,2,21110782
874,2016,4,5,3,2713366
875,2016,4,5,4,2550218
876,2016,4,5,5,629673
877,2016,4,5,6,967263
878,2016,4,5,7,1813459
879,2016,4,5,0,53832226
880,2017,4,1,1,11165337
881,2017,4,1,2,28605159
882,2017,4,1,3,3552101
883,2017,4,1,4,2276204
884,2017,4,1,5,96417
885,2017,4,1,6,626592
886,2017,4,1,7,1657147
887,2017,4,1,0,47978957
888,2017,4,2,1,35579231
889,2017,4,2,2,60856134
890,2017,4,2,3,2003347
891,2017,4,2,4,24298361
892,2017,4,2,5,475540
893,2017,4,2,6,1108024
894,2017,4,2,7,2274879
895,2017,4,2,0,126595516
896,2017,4,3,1,47914971
897,2017,4,3,2,55024388
898,2017,4,3,3,10695158
899,2017,4,3,4,59404312
900,2017,4,3,5,1245080
901,2017,4,3,6,1359862
902,2017,4,3,7,3365071
903,2017,4,3,0,179008842
904,2017,4,4,1,43795783
905,2017,4,4,2,55436119
906,2017,4,4,3,5095091
907,2017,4,4,4,175505195
908,2017,4,4,5,3537194
909,2017,4,4,6,2270744
910,2017,4,4,7,3062821
911,2017,4,4,0,288702947
912,2017,4,5,1,24243867
913,2017,4,5,2,22135754
914,2017,4,5,3,2930904
915,2017,4,5,4,3604058
916,2017,4,5,5,684865
917,2017,4,5,6,917559
918,2017,4,5,7,1916229
919,2017,4,5,0,56433236
920,2018,4,1,1,11236282
921,2018,4,1,2,27929138
922,2018,4,1,3,3200049
923,2018,4,1,4,2324816
924,2018,4,1,5,82281
925,2018,4,1,6,836659
926,2018,4,1,7,1289749
927,2018,4,1,0,46898974
928,2018,4,2,1,35192647
929,2018,4,2,2,59064505
930,2018,4,2,3,1791323
931,2018,4,2,4,23656059
932,2018,4,2,5,445983
933,2018,4,2,6,1070011
