,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
202,2021,7,22,28.7,4.8,0,70.5,23.56,671878,77719039.37,11771335.52
203,2021,7,23,28.7,6.8,0,70.9,22.38,671722,52703178.94,12666306.97
204,2021,7,24,29.1,7.9,0,68.3,22.86,671728,54247104.98,14345261.45
205,2021,7,25,29,6.6,0,61.5,22.94,671778,52866380.33,12481385.42
206,2021,7,26,28.3,5.1,0,67.3,20.25,671782,57787325.57,13243836.18
207,2021,7,27,28.3,1.8,0,67.9,19.96,671784,50282801.06,13662594.69
208,2021,7,28,28.9,4.4,0,71.9,19.15,671873,60460819.18,14356534.27
209,2021,7,29,29,4.9,0,72.9,20.75,671975,48548861.64,13408822.34
210,2021,7,30,28.1,6.3,0.4,77.5,20.07,672183,55504163.3,13378938.42
211,2021,7,31,29.1,6.3,25.4,80.1,23.36,672417,60166798.94,14285401.19
212,2021,8,1,28.2,8.6,1,86.3,16.19,672669,59741227.54,13897061.9
213,2021,8,2,26.9,9.3,45.3,96.1,12.71,672685,51826734.02,13395144.34
214,2021,8,3,27,7,9.9,90.5,17.07,672716,54468286.03,13773789.27
215,2021,8,4,28.6,3.4,0,79.5,23.1,672872,77999062.82,15033661.9
216,2021,8,5,28.8,4.1,0,79.3,18.02,673149,65096323.58,16194826.47
217,2021,8,6,26.6,3.8,59.4,85,24.15,673557,67710076.06,14338019.24
218,2021,8,7,27.8,4.8,0,79.1,25.37,673923,55171190.83,13151978.22
219,2021,8,8,26,7.6,5,91,10.24,674401,49398400.54,12719199.07
220,2021,8,9,27.2,5,0,81.3,25.99,674409,79244218.18,16930617.66
221,2021,8,10,27.6,7,0,80.6,20.12,674442,49335258.82,12539401.13
222,2021,8,11,26.5,5.3,0,83.1,17.82,674909,51289804.66,12537573.79
223,2021,8,12,26.3,7.1,0.6,84.8,14.3,675507,52054086.41,13431151.24
224,2021,8,13,25.6,9.3,4,90,11.44,676046,43472328.5,10473601.31
225,2021,8,14,24.3,7.9,12.8,88.9,15.5,676046,42814423.1,9475584.51
226,2021,8,15,24.7,7.3,13.7,87.5,16.53,676251,54297614.59,10181863.44
227,2021,8,16,25.7,4.6,0,79.5,0,676259,63639484.51,12860578.75
228,2021,8,17,25.5,7,17.2,73.9,24.47,676259,51949835.71,11993767.1
