,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
225,7.9,2021,8,14,2021-08-14,24.3,12.8,88.9,15.5
226,7.3,2021,8,15,2021-08-15,24.7,13.7,87.5,16.53
227,4.6,2021,8,16,2021-08-16,25.7,0.0,79.5,0.0
228,7.0,2021,8,17,2021-08-17,25.5,17.2,73.9,24.47
229,6.9,2021,8,18,2021-08-18,22.7,22.7,93.4,13.72
230,6.4,2021,8,19,2021-08-19,22.7,19.2,90.6,15.44
231,3.1,2021,8,20,2021-08-20,24.8,0.0,84.0,21.48
232,9.0,2021,8,21,2021-08-21,24.5,19.9,98.0,3.8
233,7.9,2021,8,22,2021-08-22,25.8,0.0,89.5,18.26
234,9.9,2021,8,23,2021-08-23,24.1,30.6,98.8,0.0
235,9.4,2021,8,24,2021-08-24,25.2,29.6,98.8,0.0
236,9.8,2021,8,25,2021-08-25,25.2,10.7,97.9,8.42
237,5.9,2021,8,26,2021-08-26,26.3,0.0,82.4,21.14
238,8.3,2021,8,27,2021-08-27,23.5,10.6,98.9,7.63
239,6.1,2021,8,28,2021-08-28,25.1,0.0,84.3,19.74
240,9.5,2021,8,29,2021-08-29,25.5,24.6,97.8,9.2
241,7.9,2021,8,30,2021-08-30,25.5,1.9,91.0,16.25
242,7.0,2021,8,31,2021-08-31,26.5,0.0,89.5,18.43
243,9.4,2021,9,1,2021-09-01,24.5,45.7,97.4,5.5
244,9.5,2021,9,2,2021-09-02,21.6,3.4,98.4,5.69
245,8.8,2021,9,3,2021-09-03,22.4,1.3,94.1,14.17
246,8.8,2021,9,4,2021-09-04,23.4,0.0,88.6,13.17
247,10.0,2021,9,5,2021-09-05,21.6,1.1,91.1,5.99
248,9.9,2021,9,6,2021-09-06,21.2,2.1,93.3,6.07
249,9.3,2021,9,7,2021-09-07,22.4,2.4,94.4,6.73
250,5.9,2021,9,8,2021-09-08,22.7,0.0,84.4,19.76
251,7.8,2021,9,9,2021-09-09,23.1,0.0,84.5,16.68
252,8.5,2021,9,10,2021-09-10,23.1,0.0,93.0,7.33
253,2.9,2021,9,11,2021-09-11,24.9,0.0,83.9,20.67
254,7.0,2021,9,12,2021-09-12,24.8,0.0,83.3,18.2
255,8.8,2021,9,13,2021-09-13,24.2,0.0,69.8,15.62
256,9.3,2021,9,14,2021-09-14,22.5,2.5,85.1,7.06
257,5.0,2021,9,15,2021-09-15,24.1,0.0,64.1,22.98
258,7.8,2021,9,16,2021-09-16,21.3,2.0,82.5,9.8
259,7.6,2021,9,17,2021-09-17,23.2,3.2,86.5,15.23
260,7.1,2021,9,18,2021-09-18,23.3,0.0,81.8,13.75
261,4.0,2021,9,19,2021-09-19,23.5,0.0,77.1,17.94
262,4.6,2021,9,20,2021-09-20,23.9,0.0,78.6,21.96
263,6.4,2021,9,21,2021-09-21,22.5,32.0,92.9,11.06
264,3.3,2021,9,22,2021-09-22,23.2,1.9,84.8,18.2
265,2.9,2021,9,23,2021-09-23,21.5,0.0,72.6,21.43
266,3.6,2021,9,24,2021-09-24,20.9,0.0,76.6,19.35
267,6.5,2021,9,25,2021-09-25,21.9,0.0,79.8,15.58
268,8.4,2021,9,26,2021-09-26,22.2,0.0,78.0,13.07
269,8.4,2021,9,27,2021-09-27,23.0,0.0,73.8,12.17
270,9.1,2021,9,28,2021-09-28,22.7,0.3,83.8,10.69
271,9.8,2021,9,29,2021-09-29,22.7,31.2,97.8,3.32
272,1.5,2021,9,30,2021-09-30,23.5,2.0,67.9,0.0
273,2.5,2021,10,1,2021-10-01,22.0,0.0,88.0,11.15
274,1.1,2021,10,2,2021-10-02,22.8,0.0,84.1,13.76
275,2.5,2021,10,3,2021-10-03,23.7,0.0,77.8,20.29
276,5.1,2021,10,4,2021-10-04,25.5,0.0,83.0,17.12
277,2.3,2021,10,5,2021-10-05,24.4,0.0,84.1,18.9
278,2.6,2021,10,6,2021-10-06,23.9,0.0,81.5,20.81
279,3.9,2021,10,7,2021-10-07,22.2,0.0,91.8,10.76
280,8.5,2021,10,8,2021-10-08,22.3,0.0,93.3,10.27
281,5.5,2021,10,9,2021-10-09,24.7,0.0,80.4,16.77
282,6.8,2021,10,10,2021-10-10,24.1,2.1,90.6,12.74
283,10.0,2021,10,11,2021-10-11,15.9,9.9,98.8,4.91
284,10.0,2021,10,12,2021-10-12,17.4,5.9,98.9,3.81
285,8.4,2021,10,13,2021-10-13,20.1,0.0,90.6,10.16
286,5.1,2021,10,14,2021-10-14,21.8,0.0,85.4,14.09
287,8.4,2021,10,15,2021-10-15,19.4,12.3,88.0,10.14
288,9.5,2021,10,16,2021-10-16,13.6,4.3,70.8,6.75
289,1.3,2021,10,17,2021-10-17,8.2,0.0,43.0,20.19
290,3.0,2021,10,18,2021-10-18,11.4,0.0,53.1,19.2
291,6.0,2021,10,19,2021-10-19,11.9,0.8,77.8,11.65
292,7.3,2021,10,20,2021-10-20,10.5,0.0,64.0,13.02
293,4.5,2021,10,21,2021-10-21,11.3,0.0,71.3,17.83
294,0.1,2021,10,22,2021-10-22,11.6,0.0,61.1,17.73
295,0.0,2021,10,23,2021-10-23,12.6,0.0,59.4,18.25
296,5.0,2021,10,24,2021-10-24,13.0,0.0,62.5,15.96
297,1.3,2021,10,25,2021-10-25,13.1,0.0,70.8,17.03
298,3.6,2021,10,26,2021-10-26,13.6,0.0,69.1,16.37
299,1.4,2021,10,27,2021-10-27,14.1,0.0,71.6,15.61
300,0.8,2021,10,28,2021-10-28,13.8,0.0,61.8,17.39
301,4.0,2021,10,29,2021-10-29,15.1,0.0,66.4,14.71
302,5.6,2021,10,30,2021-10-30,13.9,0.0,75.9,6.63
303,1.6,2021,10,31,2021-10-31,14.7,0.0,75.6,15.7
304,3.4,2021,11,1,2021-11-01,14.5,0.0,80.0,13.22
305,3.5,2021,11,2,2021-11-02,12.1,0.0,79.0,12.29
306,4.1,2021,11,3,2021-11-03,12.2,0.0,72.4,14.77
307,2.3,2021,11,4,2021-11-04,13.9,0.4,78.5,14.78
308,5.1,2021,11,5,2021-11-05,13.7,0.0,72.9,10.83
309,1.6,2021,11,6,2021-11-06,15.7,0.0,58.5,14.78
310,3.8,2021,11,7,2021-11-07,16.6,0.0,61.4,14.6
311,9.1,2021,11,8,2021-11-08,11.6,21.2,82.1,4.73
312,9.4,2021,11,9,2021-11-09,8.4,0.5,79.1,5.36
313,10.0,2021,11,10,2021-11-10,7.8,20.6,94.4,4.73
314,8.5,2021,11,11,2021-11-11,8.1,7.3,94.9,5.4
315,5.8,2021,11,12,2021-11-12,7.0,2.2,90.4,9.13
316,4.3,2021,11,13,2021-11-13,9.1,0.0,85.9,11.1
317,2.9,2021,11,14,2021-11-14,10.3,0.0,83.5,10.63
318,2.9,2021,11,15,2021-11-15,10.8,0.0,82.9,12.34
319,3.1,2021,11,16,2021-11-16,10.6,0.0,69.8,12.26
320,3.1,2021,11,17,2021-11-17,9.5,0.0,72.3,13.58
321,2.1,2021,11,18,2021-11-18,10.5,0.0,79.1,12.86
322,2.3,2021,11,19,2021-11-19,11.5,0.0,87.1,12.1
323,4.9,2021,11,20,2021-11-20,10.9,0.0,91.8,10.44
324,8.5,2021,11,21,2021-11-21,12.3,0.0,91.4,5.23
325,7.9,2021,11,22,2021-11-22,7.3,1.9,73.6,6.92
